,NO_ENTIDADE,QT_MAT_BAS_11_14,QT_MAT_BAS_15_17,QT_DESKTOP_ALUNO,QT_COMP_PORTATIL_ALUNO,QT_TABLET_ALUNO,IN_INTERNET_ALUNOS,IN_INTERNET_APRENDIZAGEM,IN_BANDA_LARGA,IN_MATERIAL_PED_MULTIMIDIA,IN_MATERIAL_PED_MUSICAL,IN_MATERIAL_PED_ARTISTICAS,QT_MAT_BAS_FEM,QT_MAT_BAS_MASC,QT_MAT_BAS_D,QT_MAT_BAS_N,QT_MAT_MED_INT,TP_DEPENDENCIA,TP_SITUACAO_FUNCIONAMENTO,Latitude,Longitude
0,AYRES DE MOURA PROFESSOR,526.0,20.0,18.0,100.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,277.0,272.0,549.0,0.0,0.0,2,1,-23.51227,-46.74971
1,GAVIAO PEIXOTO BRIGADEIRO,498.0,880.0,19.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1091.0,1175.0,1656.0,610.0,0.0,2,1,-23.40471,-46.75938
2,JOAO SOLIMEO,842.0,1100.0,12.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1068.0,1048.0,1338.0,778.0,0.0,2,1,-23.4694686,-46.6983995
3,WALFREDO ARANTES CALDAS PROFESSOR,2.0,809.0,8.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,493.0,589.0,687.0,395.0,17.0,2,1,-23.464,-46.67971
4,SEBASTIAO DE OLIVEIRA GUSMAO PROFESSOR,5.0,1048.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,586.0,672.0,831.0,427.0,0.0,2,1,-23.4383462,-46.7924469
5,SUZANA DE CAMPOS DONA,52.0,0.0,20.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,462.0,439.0,901.0,0.0,0.0,2,1,-23.4067938,-46.7552957
6,JULIO DE FARIA E SOUZA PROFESSOR,12.0,0.0,13.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,206.0,200.0,406.0,0.0,0.0,2,1,-23.4672717,-46.67466
7,JULIO CESAR DE OLIVEIRA PROFESSOR,35.0,0.0,13.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,292.0,299.0,591.0,0.0,0.0,2,1,-23.4817479,-46.7458102
8,RENATO DE ARRUDA PENTEADO PROFESSOR,2.0,759.0,11.0,11.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,559.0,517.0,804.0,272.0,0.0,2,1,-23.4581327,-46.7022058
9,JOAO BOEMER JARDIM PROFESSOR,59.0,0.0,17.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,456.0,503.0,959.0,0.0,0.0,2,1,-23.4613,-46.6739
